timestamp,datetime,open,high,low,close,volume,vol_ccy_quote,RSV,K,D,J
1749819600000,2025-06-13 13:00:00,104848.7,105297.1,104672.8,104732.0,274.05477486,28750987.230531108,9.482620534998688,50.0,50.0,50.0
1749823200000,2025-06-13 14:00:00,104735.6,105014.8,104108.6,104964.0,582.19051465,60885855.72711713,71.97307530500582,57.32435843500193,52.441452811667304,67.0901696816712
1749826800000,2025-06-13 15:00:00,104964.1,105764.8,104826.9,105431.0,999.91756343,105210975.2956226,79.84542929597853,64.83138205532745,56.57142922622069,81.35128771354098
1749830400000,2025-06-13 16:00:00,105431.1,105977.1,105302.7,105777.9,369.84763616,39097667.00354787,89.33904201230871,73.00060204098787,62.04782016447641,94.90616579401079
1749834000000,2025-06-13 17:00:00,105777.9,105777.9,104858.0,105378.3,227.13983273,23905724.59406017,67.9529033984478,71.31803582680784,65.13789205192022,83.67832337658311
1749837600000,2025-06-13 18:00:00,105378.4,105483.6,104666.6,105186.5,179.01551514,18797130.407806616,57.68798501471738,66.77468555611102,65.68348988665048,68.95707689503212
1749841200000,2025-06-13 19:00:00,105186.5,105439.9,104894.7,105101.9,136.9105363,14395024.68379455,53.16028900187254,62.23655337136486,64.53451104822193,57.64063801765073
1749844800000,2025-06-13 20:00:00,105100.6,105515.5,105017.2,105434.1,107.01728582,11267064.121835325,70.93925608777094,65.13745427683355,64.7354921244258,65.94137858164905
1749848400000,2025-06-13 21:00:00,105434.2,105793.9,105316.6,105613.7,83.9436096,8860624.31188614,80.55124431362009,70.27538428909573,66.58212284598244,77.66190717532231
1749852000000,2025-06-13 22:00:00,105613.8,105855.9,105537.2,105748.9,90.9161026,9612354.36308397,87.78699491570717,76.11258783129954,69.7589445077548,88.81987447838898
1749855600000,2025-06-13 23:00:00,105748.9,106188.0,105748.9,106066.1,115.45937669,12234149.317034667,91.98764296043154,81.40427287434353,73.64072062995105,96.93137736312852
1749859200000,2025-06-14 00:00:00,106066.1,106219.2,105687.7,105812.1,190.75994139,20207603.685241524,73.77946670101807,78.86267081656837,75.38137069215682,85.82527106539146
